number	Sim	density	$DOMM	density	$EMERG	density	$INTROM	density	$NANC	density	$NSUB	density	$NTEM	density	$RECM	density	$SRD	density	$SRW	density	$TRANSIT	density	$CONN	density
1	0	-nan	1.00073e-05	-nan	10021	-nan	0.000100782	-nan	10019	-nan	1519	-nan	1535	-nan	1.00215e-05	-nan	0.600055	-nan	0.100002	-nan	6	-nan	63135	-nan
2	0.494949	-nan	0.000305953	-nan	10121.8	-nan	0.000604705	-nan	10119.7	-nan	1604.49	-nan	1620.42	-nan	0.000110381	-nan	0.603989	-nan	0.108075	-nan	56.3737	-nan	63283.3	-nan
3	0.989899	-nan	0.000601898	-nan	10222.6	-nan	0.00110863	-nan	10220.5	-nan	1689.99	-nan	1705.85	-nan	0.00021074	-nan	0.607922	-nan	0.116148	-nan	106.747	-nan	63431.5	-nan
4	1.48485	-nan	0.000897843	-nan	10323.4	-nan	0.00161255	-nan	10321.2	-nan	1775.48	-nan	1791.27	-nan	0.000311099	-nan	0.611856	-nan	0.124221	-nan	157.121	-nan	63579.8	-nan
5	1.9798	-nan	0.00119379	-nan	10424.2	-nan	0.00211648	-nan	10421.9	-nan	1860.98	-nan	1876.7	-nan	0.000411458	-nan	0.615789	-nan	0.132294	-nan	207.495	-nan	63728.1	-nan
6	2.47475	-nan	0.00148973	-nan	10524.9	-nan	0.0026204	-nan	10522.6	-nan	1946.47	-nan	1962.12	-nan	0.000511817	-nan	0.619723	-nan	0.140368	-nan	257.869	-nan	63876.3	-nan
7	2.9697	-nan	0.00178568	-nan	10625.7	-nan	0.00312432	-nan	10623.4	-nan	2031.97	-nan	2047.55	-nan	0.000612177	-nan	0.623656	-nan	0.148441	-nan	308.242	-nan	64024.6	-nan
8	3.46465	-nan	0.00208162	-nan	10726.5	-nan	0.00362825	-nan	10724.1	-nan	2117.46	-nan	2132.97	-nan	0.000712536	-nan	0.62759	-nan	0.156514	-nan	358.616	-nan	64172.8	-nan
9	3.9596	-nan	0.00237757	-nan	10827.3	-nan	0.00413217	-nan	10824.8	-nan	2202.96	-nan	2218.39	-nan	0.000812895	-nan	0.631523	-nan	0.164587	-nan	408.99	-nan	64321.1	-nan
10	4.45455	-nan	0.00267352	-nan	10928.1	-nan	0.00463609	-nan	10925.5	-nan	2288.45	-nan	2303.82	-nan	0.000913254	-nan	0.635457	-nan	0.17266	-nan	459.364	-nan	64469.4	-nan
11	4.94949	-nan	0.00296946	-nan	11028.9	-nan	0.00514002	-nan	11026.3	-nan	2373.95	-nan	2389.24	-nan	0.00101361	-nan	0.63939	-nan	0.180733	-nan	509.737	-nan	64617.6	-nan
12	5.44444	-nan	0.00326541	-nan	11129.7	-nan	0.00564394	-nan	11127	-nan	2459.44	-nan	2474.67	-nan	0.00111397	-nan	0.643324	-nan	0.188806	-nan	560.111	-nan	64765.9	-nan
13	5.93939	-nan	0.00356135	-nan	11230.5	-nan	0.00614786	-nan	11227.7	-nan	2544.94	-nan	2560.09	-nan	0.00121433	-nan	0.647257	-nan	0.196879	-nan	610.485	-nan	64914.2	-nan
14	6.43434	-nan	0.0038573	-nan	11331.2	-nan	0.00665179	-nan	11328.5	-nan	2630.43	-nan	2645.52	-nan	0.00131469	-nan	0.651191	-nan	0.204952	-nan	660.859	-nan	65062.4	-nan
15	6.92929	-nan	0.00415324	-nan	11432	-nan	0.00715571	-nan	11429.2	-nan	2715.93	-nan	2730.94	-nan	0.00141505	-nan	0.655124	-nan	0.213025	-nan	711.232	-nan	65210.7	-nan
16	7.42424	-nan	0.00444919	-nan	11532.8	-nan	0.00765963	-nan	11529.9	-nan	2801.42	-nan	2816.36	-nan	0.00151541	-nan	0.659058	-nan	0.221099	-nan	761.606	-nan	65358.9	-nan
17	7.91919	-nan	0.00474513	-nan	11633.6	-nan	0.00816356	-nan	11630.6	-nan	2886.92	-nan	2901.79	-nan	0.00161577	-nan	0.662992	-nan	0.229172	-nan	811.98	-nan	65507.2	-nan
18	8.41414	-nan	0.00504108	-nan	11734.4	-nan	0.00866748	-nan	11731.4	-nan	2972.41	-nan	2987.21	-nan	0.00171613	-nan	0.666925	-nan	0.237245	-nan	862.354	-nan	65655.5	-nan
19	8.90909	-nan	0.00533702	-nan	11835.2	-nan	0.0091714	-nan	11832.1	-nan	3057.91	-nan	3072.64	-nan	0.00181649	-nan	0.670859	-nan	0.245318	-nan	912.727	-nan	65803.7	-nan
20	9.40404	-nan	0.00563297	-nan	11936	-nan	0.00967533	-nan	11932.8	-nan	3143.4	-nan	3158.06	-nan	0.00191685	-nan	0.674792	-nan	0.253391	-nan	963.101	-nan	65952	-nan
21	9.89899	-nan	0.00592891	-nan	12036.8	-nan	0.0101793	-nan	12033.5	-nan	3228.9	-nan	3243.48	-nan	0.0020172	-nan	0.678726	-nan	0.261464	-nan	1013.47	-nan	66100.2	-nan
22	10.3939	-nan	0.00622486	-nan	12137.5	-nan	0.0106832	-nan	12134.3	-nan	3314.39	-nan	3328.91	-nan	0.00211756	-nan	0.682659	-nan	0.269537	-nan	1063.85	-nan	66248.5	-nan
23	10.8889	-nan	0.00652081	-nan	12238.3	-nan	0.0111871	-nan	12235	-nan	3399.89	-nan	3414.33	-nan	0.00221792	-nan	0.686593	-nan	0.27761	-nan	1114.22	-nan	66396.8	-nan
24	11.3838	-nan	0.00681675	-nan	12339.1	-nan	0.011691	-nan	12335.7	-nan	3485.38	-nan	3499.76	-nan	0.00231828	-nan	0.690526	-nan	0.285683	-nan	1164.6	-nan	66545	-nan
25	11.8788	-nan	0.0071127	-nan	12439.9	-nan	0.0121949	-nan	12436.5	-nan	3570.88	-nan	3585.18	-nan	0.00241864	-nan	0.69446	-nan	0.293756	-nan	1214.97	-nan	66693.3	-nan
26	12.3737	-nan	0.00740864	-nan	12540.7	-nan	0.0126989	-nan	12537.2	-nan	3656.37	-nan	3670.61	-nan	0.002519	-nan	0.698393	-nan	0.30183	-nan	1265.34	-nan	66841.6	-nan
27	12.8687	-nan	0.00770459	-nan	12641.5	-nan	0.0132028	-nan	12637.9	-nan	3741.87	-nan	3756.03	-nan	0.00261936	-nan	0.702327	-nan	0.309903	-nan	1315.72	-nan	66989.8	-nan
28	13.3636	-nan	0.00800053	-nan	12742.3	-nan	0.0137067	-nan	12738.6	-nan	3827.36	-nan	3841.45	-nan	0.00271972	-nan	0.70626	-nan	0.317976	-nan	1366.09	-nan	67138.1	-nan
29	13.8586	-nan	0.00829648	-nan	12843.1	-nan	0.0142106	-nan	12839.4	-nan	3912.86	-nan	3926.88	-nan	0.00282008	-nan	0.710194	-nan	0.326049	-nan	1416.46	-nan	67286.4	-nan
30	14.3535	-nan	0.00859242	-nan	12943.8	-nan	0.0147146	-nan	12940.1	-nan	3998.35	-nan	4012.3	-nan	0.00292044	-nan	0.714128	-nan	0.334122	-nan	1466.84	-nan	67434.6	-nan
31	14.8485	-nan	0.00888837	-nan	13044.6	-nan	0.0152185	-nan	13040.8	-nan	4083.85	-nan	4097.73	-nan	0.0030208	-nan	0.718061	-nan	0.342195	-nan	1517.21	-nan	67582.9	-nan
32	15.3434	-nan	0.00918431	-nan	13145.4	-nan	0.0157224	-nan	13141.5	-nan	4169.34	-nan	4183.15	-nan	0.00312116	-nan	0.721995	-nan	0.350268	-nan	1567.59	-nan	67731.1	-nan
33	15.8384	-nan	0.00948026	-nan	13246.2	-nan	0.0162263	-nan	13242.3	-nan	4254.84	-nan	4268.58	-nan	0.00322152	-nan	0.725928	-nan	0.358341	-nan	1617.96	-nan	67879.4	-nan
34	16.3333	-nan	0.0097762	-nan	13347	-nan	0.0167303	-nan	13343	-nan	4340.33	-nan	4354	-nan	0.00332187	-nan	0.729862	-nan	0.366414	-nan	1668.33	-nan	68027.7	-nan
35	16.8283	-nan	0.0100722	-nan	13447.8	-nan	0.0172342	-nan	13443.7	-nan	4425.83	-nan	4439.42	-nan	0.00342223	-nan	0.733795	-nan	0.374487	-nan	1718.71	-nan	68175.9	-nan
36	17.3232	-nan	0.0103681	-nan	13548.6	-nan	0.0177381	-nan	13544.5	-nan	4511.32	-nan	4524.85	-nan	0.00352259	-nan	0.737729	-nan	0.382561	-nan	1769.08	-nan	68324.2	-nan
37	17.8182	-nan	0.010664	-nan	13649.4	-nan	0.018242	-nan	13645.2	-nan	4596.82	-nan	4610.27	-nan	0.00362295	-nan	0.741662	-nan	0.390634	-nan	1819.45	-nan	68472.5	-nan
38	18.3131	-nan	0.01096	-nan	13750.2	-nan	0.0187459	-nan	13745.9	-nan	4682.31	-nan	4695.7	-nan	0.00372331	-nan	0.745596	-nan	0.398707	-nan	1869.83	-nan	68620.7	-nan
39	18.8081	-nan	0.0112559	-nan	13850.9	-nan	0.0192499	-nan	13846.6	-nan	4767.81	-nan	4781.12	-nan	0.00382367	-nan	0.749529	-nan	0.40678	-nan	1920.2	-nan	68769	-nan
40	19.303	-nan	0.0115519	-nan	13951.7	-nan	0.0197538	-nan	13947.4	-nan	4853.3	-nan	4866.55	-nan	0.00392403	-nan	0.753463	-nan	0.414853	-nan	1970.58	-nan	68917.2	-nan
41	19.798	-nan	0.0118478	-nan	14052.5	-nan	0.0202577	-nan	14048.1	-nan	4938.8	-nan	4951.97	-nan	0.00402439	-nan	0.757396	-nan	0.422926	-nan	2020.95	-nan	69065.5	-nan
42	20.2929	-nan	0.0121438	-nan	14153.3	-nan	0.0207616	-nan	14148.8	-nan	5024.29	-nan	5037.39	-nan	0.00412475	-nan	0.76133	-nan	0.430999	-nan	2071.32	-nan	69213.8	-nan
43	20.7879	-nan	0.0124397	-nan	14254.1	-nan	0.0212656	-nan	14249.5	-nan	5109.79	-nan	5122.82	-nan	0.00422511	-nan	0.765263	-nan	0.439072	-nan	2121.7	-nan	69362	-nan
44	21.2828	-nan	0.0127357	-nan	14354.9	-nan	0.0217695	-nan	14350.3	-nan	5195.28	-nan	5208.24	-nan	0.00432547	-nan	0.769197	-nan	0.447145	-nan	2172.07	-nan	69510.3	-nan
45	21.7778	-nan	0.0130316	-nan	14455.7	-nan	0.0222734	-nan	14451	-nan	5280.78	-nan	5293.67	-nan	0.00442583	-nan	0.773131	-nan	0.455218	-nan	2222.44	-nan	69658.6	-nan
46	22.2727	-nan	0.0133275	-nan	14556.5	-nan	0.0227773	-nan	14551.7	-nan	5366.27	-nan	5379.09	-nan	0.00452618	-nan	0.777064	-nan	0.463292	-nan	2272.82	-nan	69806.8	-nan
47	22.7677	-nan	0.0136235	-nan	14657.2	-nan	0.0232813	-nan	14652.5	-nan	5451.77	-nan	5464.52	-nan	0.00462654	-nan	0.780998	-nan	0.471365	-nan	2323.19	-nan	69955.1	-nan
48	23.2626	-nan	0.0139194	-nan	14758	-nan	0.0237852	-nan	14753.2	-nan	5537.26	-nan	5549.94	-nan	0.0047269	-nan	0.784931	-nan	0.479438	-nan	2373.57	-nan	70103.3	-nan
49	23.7576	-nan	0.0142154	-nan	14858.8	-nan	0.0242891	-nan	14853.9	-nan	5622.76	-nan	5635.36	-nan	0.00482726	-nan	0.788865	-nan	0.487511	-nan	2423.94	-nan	70251.6	-nan
50	24.2525	-nan	0.0145113	-nan	14959.6	-nan	0.024793	-nan	14954.6	-nan	5708.25	-nan	5720.79	-nan	0.00492762	-nan	0.792798	-nan	0.495584	-nan	2474.31	-nan	70399.9	-nan
51	24.7475	-nan	0.0148073	-nan	15060.4	-nan	0.025297	-nan	15055.4	-nan	5793.75	-nan	5806.21	-nan	0.00502798	-nan	0.796732	-nan	0.503657	-nan	2524.69	-nan	70548.1	-nan
52	25.2424	-nan	0.0151032	-nan	15161.2	-nan	0.0258009	-nan	15156.1	-nan	5879.24	-nan	5891.64	-nan	0.00512834	-nan	0.800665	-nan	0.51173	-nan	2575.06	-nan	70696.4	-nan
53	25.7374	-nan	0.0153992	-nan	15262	-nan	0.0263048	-nan	15256.8	-nan	5964.74	-nan	5977.06	-nan	0.0052287	-nan	0.804599	-nan	0.519803	-nan	2625.43	-nan	70844.7	-nan
