Sim	$DOMM	$EMERG	$INTROM	$NANC	$NSUB	$NTEM	$RECM	$SRD	$SRW	$TRANSIT	$CONN	$MERGE	$MER_G	$SAMP	LinearCombination_0	LinearCombination_1	LinearCombination_2	LinearCombination_3	LinearCombination_4	LinearCombination_5	LinearCombination_6	LinearCombination_7	LinearCombination_8	LinearCombination_9	LinearCombination_10	LinearCombination_11	LinearCombination_12	LinearCombination_13	LinearCombination_14	LinearCombination_15	LinearCombination_16	LinearCombination_17	LinearCombination_18	LinearCombination_19	LinearCombination_20	LinearCombination_21	LinearCombination_22	LinearCombination_23	LinearCombination_24	LinearCombination_25	LinearCombination_26	LinearCombination_27	LinearCombination_28	LinearCombination_29	LinearCombination_30	LinearCombination_31	LinearCombination_32	LinearCombination_33	LinearCombination_34
0	5.85119e-05	19988	0.0482786	18945	9371	7911	0.000210347	0.725684	0.748418	2224	75212	69988	72988	79988	46.4869	35.5354	4.61941	-4.51462	0.393185	8.22822	-6.54684	-10.857	7.17203	1.9005	4.00777	-1.39566	8.99361	2.60152	-0.565931	-2.85242	-2.13262	-2.1871	0.743371	1.30741	-1.30298	-0.668154	-1.02752	-0.132837	-1.3466	0.770149	-0.272889	0.220353	0.563157	0.869099	-0.188372	0.144787	-0.780487	-0.306899	-0.24738
1	0.000816421	18810	0.00198976	15235	6005	4513	0.0064307	0.673316	0.664279	6	71816	68810	71810	78810	29.8043	61.9229	-2.36054	-6.8131	-10.6603	-3.7837	1.80102	-0.3345	-2.53023	2.24911	-1.91488	-0.717562	-2.48148	1.87687	0.73943	-0.284365	0.0125688	-1.34671	-0.0615596	-0.455134	-0.263544	0.125222	-0.253319	0.0735298	0.0693853	-0.651575	-0.0128103	0.339164	-0.213282	0.464634	-0.000391682	-0.130438	-0.161879	-0.26143	0.345256
2	0.00575631	17477	0.00131648	19473	7867	2232	8.5013e-05	0.695895	0.118767	1404	71881	67477	70477	77477	-100.511	-28.4973	4.70638	5.73523	7.07151	-6.74333	2.6784	-7.4901	6.62239	3.79031	1.0018	-1.30687	1.21478	1.08152	0.557627	2.01332	0.036455	-0.71157	0.881588	0.0993405	0.0297311	0.992707	-1.27111	-1.32557	0.384949	0.187662	0.0177808	-0.272096	-0.575568	0.718263	0.0506554	-0.0611126	-0.320068	0.423137	0.0815717
3	0.00517639	15734	0.000627837	14478	9874	5366	0.000348016	0.711126	0.654075	2708	71442	65734	68734	75734	-89.9481	-10.7358	3.71146	3.3392	5.55388	-7.12083	3.40925	1.51211	0.931185	0.985364	-1.11677	-1.87609	-2.059	-0.691205	0.528338	1.12935	0.570266	-0.535233	-0.902924	0.277393	-0.793651	-0.15599	-0.0738636	0.27287	0.0678841	-0.606485	-1.14391	0.811801	-0.743045	1.06681	-0.19527	0.0152486	-0.670031	-0.102246	0.329878
4	1.24808e-05	19317	0.00285142	16363	9613	5441	1.00215e-05	0.939046	0.309776	578	72895	69317	72317	79317	129.322	41.3358	-1.15967	30.3834	21.2814	13.5281	-15.4788	5.69179	4.90282	15.5088	-3.07954	-1.46151	-2.48902	-1.36732	-3.068	0.448557	0.560711	4.06906	0.21244	-2.67668	-2.25649	-5.49166	-1.92539	-0.256213	1.82424	-0.416323	-1.3496	-0.69734	-0.280701	0.0131773	1.44359	-0.829825	-0.482874	-0.406174	-0.590927
5	1.51872e-05	17281	0.000740062	18349	4913	8367	0.00100492	0.841015	0.811281	4615	74896	67281	70281	77281	16.1756	38.1136	-2.45219	19.3346	-6.07405	-0.671966	2.34993	-2.43553	1.11707	-1.38085	2.47258	-1.10977	3.87473	-1.01938	-0.142534	0.27368	1.12259	-2.33779	-0.814535	-2.55159	0.986679	0.0182652	0.0768038	-0.778884	0.160615	-1.53372	-0.432795	0.973717	1.03066	-0.0320891	-0.237318	-0.306283	0.00645408	0.236276	0.0154908
6	5.9425e-05	10671	0.00434408	18453	5322	4398	0.000402755	0.761911	0.119766	4067	67738	60671	63671	70671	69.9833	33.3119	-1.5901	-5.88226	7.55787	15.7854	-1.56861	1.09089	6.8811	-2.01728	6.46602	-1.79558	7.50753	3.86994	1.50674	1.62136	-0.841611	-2.84656	3.76719	0.48376	1.91208	-0.224479	-2.45364	0.582244	1.31039	0.608664	-1.17316	0.483832	0.173885	0.676113	0.00892074	0.532116	-0.970418	-0.594849	1.63675
7	0.00376355	12472	0.00174876	11852	8388	1546	0.00148483	0.877345	0.342624	3402	68874	62472	65472	72472	-72.3152	19.214	0.14045	-9.61615	10.3936	-11.6533	2.30708	1.6232	-0.0267576	2.90921	0.8281	-3.84788	-0.341116	-0.768714	1.28548	-0.774633	-1.35674	-0.724063	0.316051	-0.7121	-0.346693	-0.9905	0.592047	0.48097	-0.225146	0.676286	-0.0616959	0.00357124	0.248337	-0.171847	-0.00603153	-0.280267	0.108705	0.00391981	0.14889
8	1.28688e-05	17111	0.00739233	19029	6198	8870	7.00473e-05	0.851428	0.245679	1369	71480	67111	70111	77111	120.088	36.8456	-1.74528	21.4964	9.42923	8.50157	-8.27908	1.20129	-0.264687	9.8898	6.9394	-3.49927	2.87952	1.80312	4.72682	2.99996	-0.372494	2.021	-2.71375	0.900692	-0.168793	1.42853	0.048998	2.65713	-0.264751	0.439936	1.26303	1.00316	-0.390807	0.468212	-0.710264	-0.623677	0.575566	-0.0346667	-0.421585
9	0.00319113	18793	0.020402	18741	9713	5994	0.000244269	0.961367	0.684356	3121	74914	68793	71793	78793	-13.1643	34.5837	3.12955	-5.57597	1.04666	-2.17939	-1.23291	0.142322	-5.52634	-0.779946	0.0669672	-0.529304	1.77332	1.32611	0.170403	0.876923	0.65079	-0.4233	0.841646	-1.08932	1.21335	-0.661173	-0.897883	-1.4198	-0.123252	-0.0407998	-0.409824	0.996376	-0.0659478	-0.153028	-0.373865	-0.489702	0.373586	0.590013	-0.617628
10	0.0204503	12647	0.0323865	17142	4199	5696	0.00112863	0.705086	0.560909	636	66283	62647	65647	72647	-47.2226	25.3247	5.75646	-5.47674	1.81271	-7.74627	-0.505646	2.44409	-2.79539	-0.321261	1.18673	-0.323513	-1.99707	-1.61232	-0.0465597	1.41756	3.26742	0.0214662	0.538654	0.0379178	0.660478	-0.295442	0.766932	-0.168904	1.18137	-0.211223	1.2524	-0.00456592	-0.778882	-0.177143	-0.149278	0.0524552	-0.516463	-0.213398	-0.340672
11	2.36211e-05	17086	0.00213026	15326	7295	3947	0.000974175	0.882621	0.14564	4637	74723	67086	70086	77086	43.7737	33.1898	-4.98013	4.37742	-6.61751	7.70236	1.68491	-6.0117	6.82153	2.5755	3.80928	1.22565	4.04608	0.556574	5.30752	-0.399476	-3.97235	0.202617	-0.999497	-1.55742	-0.3639	1.2252	0.786521	-0.49715	2.48293	0.128605	0.104019	-0.613028	-0.670137	0.0353339	0.26742	0.647878	-0.900374	-0.15612	0.249905
12	0.000492901	19742	0.0107032	16593	9178	2778	0.000584111	0.619843	0.311356	4775	77517	69742	72742	79742	-95.4405	-75.5736	-20.8722	6.91852	7.2588	4.57401	5.18847	1.42733	6.96925	-0.550705	-0.0199382	2.69532	-0.655312	0.212306	1.98549	-4.19061	2.79841	0.551537	-0.162226	1.03068	-0.537775	1.76779	-0.625083	-1.06087	0.000928513	1.63461	-0.73324	0.345938	-0.0587746	0.0594128	-0.543174	0.137002	0.0445926	-0.317809	-0.172839
13	0.0177645	17803	0.000702344	14261	8589	7917	0.00280806	0.776303	0.626555	4585	75388	67803	70803	77803	-1.17147	-6.42765	12.5118	1.25287	-16.5549	5.65222	0.289167	7.23638	2.8797	6.36068	-1.09528	1.24231	3.1007	-3.2071	3.20699	-6.15163	-3.86809	-1.98953	-0.631111	0.342531	0.684678	0.237924	-0.437513	0.786974	-0.457165	-1.23192	-0.159062	0.203983	0.952147	-0.171778	-0.0620934	-0.387422	0.0274153	0.436762	-0.340748
14	0.006524	11977	0.00432012	12914	4825	7544	0.00901115	0.927521	0.117124	4545	69522	61977	64977	71977	-63.9992	15.8047	9.6129	24.6774	-3.72966	-10.3919	4.85507	2.06237	8.09492	-4.94513	6.47029	-0.847092	-3.02534	0.502964	0.268486	1.50014	-2.5023	0.685633	1.42262	-0.995581	-0.00730065	-1.25966	0.911999	0.0616599	0.233324	1.62361	-0.450394	0.356909	0.942194	0.104756	0.218145	-0.0217852	0.571054	-0.358516	-0.0354922
15	0.000622186	14266	0.000863113	12742	7095	5421	5.88874e-05	0.967497	0.111294	4926	72192	64266	67266	74266	-48.4177	-37.0684	-30.6537	2.03797	15.1816	8.16926	6.9827	0.647033	4.25895	-5.45128	-0.536335	1.12432	3.51201	5.62802	-1.48155	-2.47582	0.324547	0.879534	-0.630739	-0.903614	1.68197	-1.60985	0.572905	0.83244	-1.69766	-0.292986	0.219466	-0.176036	0.0943731	-0.0767471	-0.422811	-0.960409	-0.442803	0.193191	-0.211092
16	0.000839663	19276	0.00288652	19306	4614	5120	0.00253895	0.931918	0.241911	3068	75344	69276	72276	79276	1.58161	55.6727	-5.9875	-1.49648	-9.3988	-7.60974	10.9118	2.46064	10.9177	-4.11883	1.59404	-1.05682	-3.88694	-1.24574	-0.811757	5.37256	-3.66292	2.27487	0.511054	-1.33411	-0.697793	-1.02958	1.30501	-0.34895	0.581903	0.766726	0.779971	-0.0381768	0.688961	0.00939787	-0.466243	-0.0731824	0.123486	0.288762	-0.418499
17	0.000701227	11781	0.00155526	12443	3073	3380	0.000318981	0.873798	0.436577	3655	68436	61781	64781	71781	-37.5478	-16.769	-16.915	4.81564	14.1781	8.29615	3.07113	-9.70869	-5.45209	-8.37684	-2.50236	-2.30023	3.19186	1.193	-0.153576	-0.377325	0.10996	1.81999	-0.405751	0.775495	-2.37969	-1.40493	-0.932178	-0.618853	-1.80087	0.557731	-0.17307	0.433009	-0.203639	0.269593	-0.341941	-0.432409	-0.70019	0.310908	0.210463
18	0.00378586	17826	0.011985	16753	9201	5547	0.0024419	0.667285	0.793062	1244	72070	67826	70826	77826	-103.265	-37.5269	-9.83899	9.70401	6.36057	-5.49789	7.51362	-3.42289	4.88048	3.27609	-1.99474	-1.04208	-0.323248	-4.13829	2.34023	0.460952	3.09302	-1.43432	-1.99248	1.05055	-0.224826	0.669276	0.635759	-0.339918	0.661333	0.409006	-0.580056	-0.62157	-0.376712	-0.19241	0.415333	-0.466749	0.612527	-0.0350516	0.440891
19	0.000485879	14786	0.0140777	13316	7273	5134	0.00852058	0.814744	0.454837	3626	71412	64786	67786	74786	32.1727	52.9488	4.73238	2.11151	-12.0206	-0.920673	-2.765	-0.56664	-3.67739	0.314542	-0.434026	0.754623	-0.903755	-0.87472	-0.998275	0.331082	2.2655	-0.621654	-0.382543	1.21163	-1.04924	0.78011	1.06632	-0.541025	0.145669	0.607667	1.10718	-0.893614	0.531709	-0.727664	0.222061	-0.390191	0.572311	0.117412	0.188423
20	0.0119331	15941	0.00545259	18474	5134	5284	2.84896e-05	0.876802	0.617273	1880	70821	65941	68941	75941	-44.1723	23.0844	1.02513	34.7437	0.694056	-9.09309	1.8001	-4.42203	-6.25329	-5.39846	3.23442	-3.41064	-0.65697	1.26763	-0.593514	-0.281691	-0.246821	0.104473	2.08221	-0.964379	-0.277129	-0.308775	-1.45844	0.120633	0.242724	-0.161948	-0.0260396	0.886516	-0.166908	0.301393	0.0471966	0.273969	0.0140246	-0.430301	0.0693947
