CHROM	Start	End	Length	14	5	15	7	2	3	4	6	8	9	10	11	12	13	16	19	17	20	21	18
Chr01	797981	802101	4120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|753042-757210	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	1829231	1879328	50097	NA	NA	NA	NA	Chr01|1829088-1877650	NA	Chr01|1870853-1919422	NA	NA	Chr01|1780466-1829034	Chr01|1751206-1799777	Chr01|1668602-1717173	Chr01|1823012-1871596	Chr01|1840831-1889401	NA	NA	NA	NA	NA	NA
Chr01	2105856	2106994	1138	NA	NA	NA	Chr01|2072745-2073887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	3380615	3390064	9449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|2918067-2927982	NA	NA
Chr01	3875461	3877721	2260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|3384265-3386574	Chr01|3521816-3524127	NA
Chr01	4723836	4725649	1813	NA	NA	NA	NA	Chr01|4647400-4649199	NA	NA	Chr01|4550629-4552428	NA	NA	Chr01|4667477-4669276	Chr01|4583420-4585219	NA	Chr01|4669394-4671193	Chr01|4602491-4604290	NA	NA	NA	NA	NA
Chr01	5966062	7971800	2005738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|5872641-8119882	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	7068172	7069927	1783	Chr01|7091769-7093536	Chr01|7280656-7282423	NA	NA	NA	NA	NA	NA	Chr01|7076137-7077957	Chr01|7052427-7054247	NA	NA	NA	Chr01|7125345-7127165	NA	NA	Chr01|7337981-7339801	NA	NA	NA
Chr01	8492952	8524656	31704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|7856828-7887825	NA	NA
Chr01	8492952	8528678	35838	NA	Chr01|8761026-8797064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|8989773-9039200	NA	Chr01|7972148-8039213	NA
Chr01	8765812	8767320	1508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|8074159-8075669	Chr01|8231107-8232617	NA
Chr01	9157115	9173293	16178	NA	Chr01|9424935-9441121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	10777331	10779766	2455	NA	NA	NA	Chr01|10724622-10727144	Chr01|11012522-11015044	Chr01|10785834-10788301	Chr01|10779519-10781971	Chr01|10741734-10744256	Chr01|10708924-10711376	Chr01|10879910-10882377	Chr01|11045760-11048227	Chr01|10950034-10952554	Chr01|10616930-10619382	Chr01|10947699-10950221	Chr01|10958607-10961131	Chr01|10817323-10819845	NA	Chr01|9919188-9921621	Chr01|10080977-10083414	NA
Chr01	12098097	12102425	4328	Chr01|12219658-12223995	Chr01|12385504-12389841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	12182722	12196677	13955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|11201916-11215810	NA	NA
Chr01	12182722	12199232	16510	NA	NA	NA	Chr01|12217747-12234079	Chr01|12524136-12540459	Chr01|12294199-12310531	Chr01|12274128-12290460	Chr01|12228654-12244999	Chr01|12197530-12213849	Chr01|12369498-12385819	Chr01|12533227-12556625	Chr01|12488441-12504777	Chr01|12176979-12193311	Chr01|12428767-12445112	Chr01|12425710-12442042	Chr01|12285394-12301734	Chr01|12748726-12778396	NA	Chr01|11355275-11371711	NA
Chr01	12182722	12200748	18026	Chr01|12344258-12362305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	12376870	12445654	68784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|11562969-11619396	NA
Chr01	12376870	12485732	108862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|11395592-11472955	NA	NA
Chr01	13141607	13145773	4166	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|12925342-12929536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
