folder	chrom	start	end	len	Nref	Ncontrol	IIMs
run0	Chr01	1829231	1879328	50097	8	6	23
run1	Chr01	4723836	4725649	1813	9	5	2
run10	Chr02	9578102	9590396	12294	5	9	1
run100	Chr11	1754057	1773200	19143	11	3	1
run101	Chr11	3551604	3553647	2043	8	6	4
run102	Chr11	5032632	5062474	29842	11	3	2
run103	Chr11	6646291	6659642	13351	10	4	35
run104	Chr11	8368592	8399515	30923	6	8	12
run105	Chr11	10009895	10011769	1873	9	5	NA
run106	Chr11	12554599	12727710	173111	11	3	47
run107	Chr11	12727710	13027384	299674	10	4	95
run108	Chr11	14293691	14615288	321597	9	5	506
run109	Chr11	14293691	14622653	328962	9	5	433
run11	Chr02	9909406	9962306	52900	9	5	34
run110	Chr11	16492002	16533416	41401	10	4	88
run111	Chr11	16503989	16533416	29427	10	4	23
run112	Chr11	16580206	16583039	2833	10	4	1
run113	Chr11	16583043	16765720	182677	10	4	169
run114	Chr11	17078698	17238537	159839	5	9	362
run115	Chr11	19817501	19848205	30767	10	4	22
run116	Chr11	20462577	20464447	1870	8	6	81
run117	Chr11	21608092	21609959	1867	6	8	NA
run118	Chr11	23736842	23756295	19453	8	6	82
run119	Chr12	691451	1016732	325281	10	4	134
run12	Chr02	11528725	11533237	4512	4	10	1
run120	Chr12	6123422	6129454	5995	8	6	50
run121	Chr12	10810696	10833511	22815	11	3	25
run122	Chr12	14822002	15059221	237219	4	10	174
run123	Chr12	15668569	15672403	3824	10	4	19
run124	Chr12	16283510	16284937	1200	4	10	5
run125	Chr12	19581271	19634473	53202	6	8	38
run126	Chr12	24532020	24563262	31242	8	6	16
run127	Chr12	24751074	24756072	5031	4	10	20
run128	Chr12	26731224	26859572	128348	7	7	98
run13	Chr02	12767264	12772011	4747	4	10	1
run14	Chr02	22629551	22632586	3035	7	7	8
run15	Chr02	30081457	30084601	3144	7	7	17
run16	Chr02	35433234	35439096	5862	5	9	9
run17	Chr03	296809	322682	25873	8	6	1
run18	Chr03	386363	402805	16435	9	5	1
run19	Chr03	387577	402782	15137	6	8	6
run2	Chr01	7068172	7069927	1783	10	4	1
run20	Chr03	14685943	14687235	1292	11	3	1
run21	Chr03	15427983	15431858	3875	9	5	8
run22	Chr03	18919421	19341970	422549	4	10	286
run23	Chr03	19350111	19376815	26704	6	8	128
run24	Chr03	34783642	34815450	31858	4	10	13
run25	Chr04	17912	45230	27318	11	3	2
run26	Chr04	1791537	1792977	1456	5	9	1
run27	Chr04	2220832	2291225	70393	8	6	5
run28	Chr04	4939906	4990149	50243	11	3	10
run29	Chr04	7879458	7903263	23805	6	8	24
run3	Chr01	15848802	15967306	118504	6	8	19
run30	Chr04	8709096	8715813	6717	4	10	11
run31	Chr04	11053955	11087184	32951	6	8	118
run32	Chr04	11828858	11839594	10736	7	7	31
run33	Chr04	13913783	13917741	3958	4	10	2
run34	Chr04	15192389	15261344	68955	5	9	32
run35	Chr04	17723456	18681774	958318	10	4	1975
run36	Chr04	20816891	20838878	22011	5	9	27
run37	Chr04	29025990	29063087	37097	8	6	19
run38	Chr04	35464349	35482770	18421	6	8	2
run39	Chr04	35464349	35489739	25389	11	3	6
run4	Chr01	21275540	21279189	3649	7	7	2
run40	Chr05	817809	819150	1341	11	3	2
run41	Chr05	1383951	1391735	7784	10	4	5
run42	Chr05	1385789	1390659	4870	10	4	2
run43	Chr05	3550118	3560099	9981	8	6	15
run44	Chr05	4394754	4419566	24812	6	8	74
run45	Chr05	4427982	4432428	4446	6	8	22
run46	Chr05	7076516	7090061	13545	7	7	15
run47	Chr05	7077805	7090061	12256	9	5	6
run48	Chr05	8101439	8103987	2548	4	10	5
run49	Chr05	8110322	8118113	7791	4	10	26
run5	Chr01	21508367	21510092	1725	7	7	1
run50	Chr05	22526508	22536064	9783	9	5	2
run51	Chr05	25565334	25570853	5347	9	5	1
run52	Chr06	3537187	3560310	23123	11	3	4
run53	Chr06	8598259	8649711	51452	10	4	66
run54	Chr06	9803594	9806682	3044	9	5	8
run55	Chr06	10971449	10977768	6313	5	9	15
run56	Chr06	10972082	10977768	5686	10	4	3
run57	Chr06	13119682	17632495	4512813	4	10	18647
run58	Chr06	17659075	17853290	194215	5	9	79
run59	Chr06	20928379	20931095	2716	9	5	5
run6	Chr01	37858913	37862028	3115	10	4	6
run60	Chr06	24907096	24953177	46081	7	7	114
run61	Chr07	169852	173381	3804	11	3	1
run62	Chr07	1431373	1436639	5265	10	4	18
run63	Chr07	1889727	1905877	16150	10	4	33
run64	Chr07	4425019	4426366	1347	6	8	1
run65	Chr07	5354499	5430622	76123	6	8	297
run66	Chr07	7478562	7484152	5590	7	7	23
run67	Chr07	8716671	8753196	36525	6	8	156
run68	Chr07	9424698	9589654	164956	10	4	130
run69	Chr07	10140141	10357623	217482	8	6	117
run7	Chr01	37861039	37863797	2758	11	3	6
run70	Chr07	11770480	11773844	3385	4	10	27
run71	Chr07	17945596	17947144	1548	9	5	1
run72	Chr07	21008395	21013353	4958	5	9	41
run73	Chr07	21712707	21721729	9022	7	7	8
run74	Chr07	23127203	23128715	1512	11	3	3
run75	Chr07	23127203	23129411	2208	4	10	3
run76	Chr07	24829759	24863811	34052	7	7	9
run77	Chr07	28583955	28700441	116486	11	3	40
run78	Chr08	3427677	3428840	1163	9	5	3
run79	Chr08	5681871	5683012	1141	11	3	3
run8	Chr01	39322848	39329875	6966	9	5	3
run80	Chr08	6690788	6890245	199457	11	3	124
run81	Chr08	7132399	7368388	235989	11	3	258
run82	Chr08	11497759	11499087	1332	7	7	4
run83	Chr08	13425349	13429492	4136	5	9	1
run84	Chr08	24879160	24880341	1181	9	5	2
run85	Chr09	309450	313218	3768	5	9	4
run86	Chr09	3894745	3941525	46592	4	10	42
run87	Chr09	5969688	5988664	18976	8	6	34
run88	Chr09	7088238	7091460	3225	10	4	5
run89	Chr09	11360222	11363257	3035	8	6	45
run9	Chr02	655419	668963	13544	7	7	41
run90	Chr09	14139214	14145721	6507	11	3	7
run91	Chr09	23001130	23003059	1929	8	6	NA
run92	Chr10	7612912	7675732	62820	10	4	24
run93	Chr10	8948404	8967277	19143	4	10	11
run94	Chr10	13960714	13970825	10111	4	10	1
run95	Chr10	14011306	14069165	57859	9	5	77
