mg_pav	asm_pav	Nmg	Nasm	intersect	mg_unique	asm_unique
MH63RS2_tract.bed	MH63RS2.LNNK00000000.bed	19359	29422	9115	10676	18562
ZS97RS_tract.bed	ZS97RS2.LNNJ00000000.bed	19178	29696	9091	10534	18747
OsN22_tract.bed	OsN22RS2.LWDA02.bed	18437	29879	8925	9944	19222
Azucena_tract.bed	AzucenaRS1.PKQC01.revision.bed	8332	15762	4127	4437	10690
OsIR64_tract.bed	OsIR64RS1.RWKJ01.bed	19995	30602	9414	11063	19288
OsVYID01_tract.bed	Os117425RS1.VYID01.bed	11608	20374	5567	6344	13607
OsVYIE01_tract.bed	Os125619RS1.VYIE01.bed	21409	33105	10369	11494	21076
OsWGGU01_tract.bed	Os125827RS2.WGGU01.bed	21490	39228	11680	11639	24942
OsVYIF01_tract.bed	Os127518RS1.VYIF01.bed	20151	32059	9627	11051	20438
OsVXJH01_tract.bed	Os127564RS1.VXJH01.bed	20146	31756	9591	11189	20133
OsVYIG01_tract.bed	Os127652RS1.VYIG01.bed	22164	34023	10971	11669	21514
OsVYIB01_tract.bed	Os127742RS1.VYIB01.bed	19334	29983	9137	10642	19107
OsVYIC01_tract.bed	Os128077RS1.VYIC01.bed	9111	16763	4335	4991	11364
OsVYIH01_tract.bed	Os132278RS1.VYIH01.bed	7647	13782	3656	4161	9316
OsVXJI01_tract.bed	Os132424RS1.VXJI01.bed	20127	30979	9442	11128	19654
