CHROM	Start	End	Length	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Chr01	1829231	1879328	50097	Chr01|1829088-1877650		Chr01|1870853-1919422					Chr01|1780466-1829034	Chr01|1751206-1799777	Chr01|1668602-1717173	Chr01|1823012-1871596	Chr01|1840831-1889401			
Chr01	4723836	4725649	1813	Chr01|4647400-4649199				Chr01|4550629-4552428				Chr01|4667477-4669276	Chr01|4583420-4585219		Chr01|4669394-4671193			Chr01|4602491-4604290
Chr01	7068172	7069927	1783				Chr01|7280656-7282423			Chr01|7076137-7077957	Chr01|7052427-7054247				Chr01|7125345-7127165	Chr01|7091769-7093536		
Chr01	15848802	15967306	118504	Chr01|16411779-16550444	Chr01|16412197-16574792					Chr01|16257058-16453749	Chr01|15855905-16052751	Chr01|16446266-16585008	Chr01|16235956-16398516	Chr01|16078135-16216767	Chr01|16258102-16396766			Chr01|16296783-16435487
Chr01	21275540	21279189	3649	Chr01|22328461-22332106	Chr01|22180080-22183725			Chr01|22505388-22509033			Chr01|22494037-22497682	Chr01|22540809-22544454	Chr01|22360256-22363901		Chr01|22088222-22091867			Chr01|22298473-22302118
Chr01	21508367	21510092	1725	Chr01|22531514-22533249	Chr01|22384324-22386059			Chr01|22709649-22711384			Chr01|22698110-22699845	Chr01|22745081-22746816	Chr01|22575052-22576787		Chr01|22292483-22294218			Chr01|22502649-22504384
Chr01	37858913	37862028	3115	Chr01|39105412-39108526				Chr01|38981388-38984503			Chr01|39440426-39443539	Chr01|39410975-39414090			Chr01|38935037-38938152			
Chr01	37861039	37863797	2758		Chr01|39132156-39134899					Chr01|39481377-39484120			Chr01|39362838-39365583					Chr01|39030355-39033098
Chr01	39322848	39329875	6966			Chr01|39041169-39048083		Chr01|40479494-40482720		Chr01|41004922-41008148			Chr01|40892840-40896066	Chr01|39753000-39759915	Chr01|40433063-40436291			
Chr02	655419	668963	13544	Chr02|570731-584244		Chr02|605213-618759				Chr02|640808-654356		Chr02|643335-656777	Chr02|638270-651757	Chr02|650703-664248			Chr02|654788-668230	Chr02|677737-691191
Chr02	9578102	9590396	12294		Chr02|9634737-9647030		Chr02|9673249-9685543	Chr02|9582607-9594901	Chr02|9507436-9519730	Chr02|9422365-9434659			Chr02|9788064-9800300	Chr02|9545679-9557973		Chr02|9556304-9568590	Chr02|9619226-9631518	Chr02|9483972-9496261
Chr02	9909406	9962306	52900		Chr02|9967401-10020131		Chr02|10005239-10057980	Chr02|9914524-9967285	Chr02|9839241-9891974							Chr02|9888653-9941387	Chr02|9947218-9999954	
Chr02	11528725	11533237	4512	Chr02|11302981-11307506	Chr02|11652010-11656536	Chr02|11463734-11468260		Chr02|11533855-11538381		Chr02|11552403-11556903	Chr02|11664693-11669226	Chr02|11384731-11389257	Chr02|11864933-11869459	Chr02|11595950-11600479	Chr02|11484872-11489385			Chr02|11582196-11586721
Chr02	12767264	12772011	4747	Chr02|12578746-12582988	Chr02|12985176-12989418	Chr02|12772747-12776989		Chr02|12867615-12871857		Chr02|12909040-12913282	Chr02|12966955-12971197	Chr02|12693747-12697989	Chr02|13165054-13169296	Chr02|12931311-12935553	Chr02|12817779-12822021			Chr02|12915533-12919775
Chr02	22629551	22632586	3035	Chr02|23353086-23356114	Chr02|23903851-23906879			Chr02|23760953-23763995		Chr02|23642399-23645427	Chr02|24056181-24059214		Chr02|24109563-24112605		Chr02|24314949-24317977			Chr02|23887635-23890670
Chr02	30081457	30084601	3144	Chr02|30819823-30822965	Chr02|31367847-31370990			Chr02|31260536-31263679			Chr02|31815815-31818958	Chr02|31670596-31673739	Chr02|31998373-32001516		Chr02|32267640-32270783			Chr02|31225807-31228945
Chr02	35433234	35439096	5862	Chr02|36173497-36179366	Chr02|36714606-36720475			Chr02|36612418-36618287		Chr02|36336557-36342426	Chr02|37148544-37154413	Chr02|37006481-37012350	Chr02|37387051-37392920	Chr02|37340764-37346633	Chr02|37643356-37649225			Chr02|36566647-36572514
